u_lat,u_lon,v_lat,v_lon
32.0698571,34.7704802,32.0698237,34.7704715
32.0698571,34.7704802,32.0698257,34.7704263
32.0698571,34.7704802,32.0702244,34.7702978
32.0698571,34.7704802,32.0694666,34.7706208
32.0698571,34.7704802,32.0698708,34.770514
32.0698237,34.7704715,32.0694988,34.7703797
32.0694988,34.7703797,32.0694898,34.7704468
32.0694988,34.7703797,32.0689437,34.7700052
32.0694988,34.7703797,32.0695241,34.7703573
32.0694988,34.7703797,32.069688,34.7702127
32.0694988,34.7703797,32.0695021,34.7704189
32.0689437,34.7700052,32.0688266,34.769969
32.0688266,34.769969,32.0682607,34.7700434
32.0682607,34.7700434,32.0676912,34.7701183
32.0682607,34.7700434,32.0682717,34.7699947
32.0676912,34.7701183,32.0667929,34.7702702
32.0667929,34.7702702,32.0667362,34.7702835
32.0667362,34.7702835,32.0668179,34.7703502
32.0667362,34.7702835,32.0666686,34.7702282
32.0667362,34.7702835,32.0666971,34.7702926
32.0698257,34.7704263,32.069688,34.7702127
32.069688,34.7702127,32.0693843,34.7698463
32.069688,34.7702127,32.069972,34.7699562
32.0693843,34.7698463,32.0697257,34.769528
32.0693843,34.7698463,32.0690532,34.7694507
32.0690532,34.7694507,32.0694276,34.7690864
32.0690532,34.7694507,32.0687786,34.7691046
32.0687786,34.7691046,32.0687495,34.7690678
32.0687786,34.7691046,32.0687652,34.7691238
32.0687495,34.7690678,32.0690743,34.7687525
32.0687495,34.7690678,32.0685534,34.7688288
32.0685534,34.7688288,32.068351,34.7685395
32.0685534,34.7688288,32.0688995,34.7684342
32.068351,34.7685395,32.0682696,34.7684283
32.0682696,34.7684283,32.068124,34.7682253
32.068124,34.7682253,32.0680046,34.7680588
32.0680046,34.7680588,32.0679725,34.768014
32.0679725,34.768014,32.0678881,34.7679224
32.0678881,34.7679224,32.0676698,34.7676853
32.0676698,34.7676853,32.067168,34.7671226
32.074999,34.7735318,32.0749539,34.7734977
32.0749539,34.7734977,32.0748031,34.7733906
32.0748031,34.7733906,32.0740955,34.7728802
32.0740955,34.7728802,32.0739334,34.7727716
32.0739334,34.7727716,32.0736338,34.7724153
32.0736338,34.7724153,32.073335,34.7720317
32.073335,34.7720317,32.0731728,34.7718234
32.0731728,34.7718234,32.0730766,34.7717402
32.0730766,34.7717402,32.0729888,34.7716681
32.0729888,34.7716681,32.0728617,34.7716049
32.0728617,34.7716049,32.0728116,34.77158
32.0728116,34.77158,32.0723623,34.7713585
32.0723623,34.7713585,32.0718314,34.771131
32.0718314,34.771131,32.0717021,34.7711169
32.0717021,34.7711169,32.0715831,34.7710582
32.0715831,34.7710582,32.07146,34.7709388
32.07146,34.7709388,32.0711987,34.7710837
32.07146,34.7709388,32.071415,34.7708952
32.071415,34.7708952,32.0711809,34.7705824
32.0711809,34.7705824,32.0708626,34.7701644
32.0711809,34.7705824,32.071118,34.7706612
32.0708626,34.7701644,32.0708511,34.7701294
32.0708511,34.7701294,32.0708419,34.7700946
32.0708419,34.7700946,32.0708411,34.770059
32.0708411,34.770059,32.0708472,34.7700299
32.0708472,34.7700299,32.0708595,34.7700078
32.0708595,34.7700078,32.0708888,34.7699749
32.0708888,34.7699749,32.070914,34.7699557
32.070914,34.7699557,32.0709978,34.7699122
32.070914,34.7699557,32.0707997,34.7700064
32.070914,34.7699557,32.0709649,34.7699645
32.0692255,34.7707756,32.0684557,34.7709332
32.0692255,34.7707756,32.0692245,34.7707506
32.0692255,34.7707756,32.0689518,34.7720341
32.0689518,34.7720341,32.0687097,34.7730943
32.0698572,34.773463,32.0700381,34.7726045
32.0700381,34.7726045,32.0702497,34.7716405
32.0702497,34.7716405,32.0703037,34.7714384
32.0703037,34.7714384,32.0703305,34.7713917
32.0703305,34.7713917,32.0703487,34.771371
32.0703487,34.771371,32.0703553,34.7713635
32.0703553,34.7713635,32.0704044,34.771329
32.0704044,34.771329,32.0704387,34.7714011
32.0704044,34.771329,32.0703809,34.7712875
32.0704554,34.7681525,32.070204,34.768383
32.0704554,34.7681525,32.0706579,34.7684569
32.0706579,34.7684569,32.0707531,34.7686079
32.0707531,34.7686079,32.0704936,34.7688274
32.0707531,34.7686079,32.0710277,34.7690351
32.0710277,34.7690351,32.071176,34.7692739
32.0710277,34.7690351,32.0707703,34.769252
32.0709978,34.7699122,32.0710156,34.7698956
32.0709978,34.7699122,32.0711641,34.7698268
32.0710156,34.7698956,32.0710278,34.7698839
32.0710278,34.7698839,32.071043,34.7698664
32.071043,34.7698664,32.0710538,34.7698495
32.0710538,34.7698495,32.0710626,34.7698313
32.0710626,34.7698313,32.0710704,34.7698026
32.0710704,34.7698026,32.0710854,34.769742
32.0710854,34.769742,32.0711092,34.7696404
32.0711092,34.7696404,32.0711933,34.7692892
32.0711933,34.7692892,32.071176,34.7692739
32.0711933,34.7692892,32.071737,34.767383
32.0707703,34.769252,32.0704936,34.7688274
32.0707703,34.769252,32.0705052,34.7694941
32.0705052,34.7694941,32.0707747,34.7699557
32.0705052,34.7694941,32.0702307,34.7690673
32.0705052,34.7694941,32.0702611,34.7697284
32.0702611,34.7697284,32.0705027,34.7701611
32.0702611,34.7697284,32.0700245,34.769916
32.0702611,34.7697284,32.0699823,34.7692942
32.069428,34.7684308,32.0691334,34.768673
32.069428,34.7684308,32.069496,34.7683657
32.069428,34.7684308,32.069696,34.7688482
32.069696,34.7688482,32.0699425,34.7686223
32.069696,34.7688482,32.0694276,34.7690864
32.069696,34.7688482,32.0699823,34.7692942
32.0699823,34.7692942,32.0697257,34.769528
32.0699823,34.7692942,32.0702307,34.7690673
32.0700245,34.769916,32.0700283,34.7699237
32.0700245,34.769916,32.0700195,34.7699097
32.0706638,34.7708913,32.0708205,34.7712678
32.0706638,34.7708913,32.070649,34.7708988
32.0706638,34.7708913,32.071118,34.7706612
32.0708205,34.7712678,32.0708548,34.771331
32.0708205,34.7712678,32.0711987,34.7710837
32.0708548,34.771331,32.0710105,34.7715682
32.0710105,34.7715682,32.0710286,34.7715495
32.0710105,34.7715682,32.0711306,34.7717511
32.0710105,34.7715682,32.0710038,34.771575
32.0700183,34.7699677,32.0700094,34.7699733
32.0700183,34.7699677,32.0700257,34.7699583
32.0700183,34.7699677,32.0702244,34.7702978
32.0700257,34.7699583,32.07003,34.7699464
32.07003,34.7699464,32.0700305,34.7699334
32.0700305,34.7699334,32.0700283,34.7699237
32.0700195,34.7699097,32.0700142,34.7699056
32.0700142,34.7699056,32.0700036,34.7699015
32.0700036,34.7699015,32.0699927,34.769902
32.0699927,34.769902,32.0699843,34.7699058
32.0699843,34.7699058,32.0699758,34.7699138
32.0699843,34.7699058,32.0699622,34.7698736
32.0699758,34.7699138,32.0699702,34.7699248
32.0699702,34.7699248,32.0699681,34.7699373
32.0699681,34.7699373,32.0699697,34.7699499
32.0699697,34.7699499,32.069972,34.7699562
32.069972,34.7699562,32.0699789,34.7699661
32.0699789,34.7699661,32.0699881,34.7699727
32.0699881,34.7699727,32.0699987,34.7699752
32.0699987,34.7699752,32.0700094,34.7699733
32.0699622,34.7698736,32.0697257,34.769528
32.0697257,34.769528,32.0695592,34.7692847
32.0695592,34.7692847,32.0694276,34.7690864
32.0694276,34.7690864,32.0691816,34.7686727
32.0691816,34.7686727,32.0691334,34.768673
32.0691334,34.768673,32.0690743,34.7687525
32.0691334,34.768673,32.0688995,34.7684342
32.0702307,34.7690673,32.0704936,34.7688274
32.0702307,34.7690673,32.0699425,34.7686223
32.0704936,34.7688274,32.070204,34.768383
32.069496,34.7683657,32.0696744,34.7682082
32.0696744,34.7682082,32.0699425,34.7686223
32.0699425,34.7686223,32.070204,34.768383
32.070204,34.768383,32.0699398,34.7679775
32.0707747,34.7699557,32.0707997,34.7700064
32.0707997,34.7700064,32.0705027,34.7701611
32.0678504,34.7673528,32.068122,34.7675823
32.068122,34.7675823,32.0683634,34.7678418
32.0683634,34.7678418,32.0684159,34.767898
32.0684159,34.767898,32.0686679,34.7681681
32.0686679,34.7681681,32.0688995,34.7684342
32.0704387,34.7714011,32.0704679,34.7714557
32.0704679,34.7714557,32.0707002,34.7718432
32.0707002,34.7718432,32.0708399,34.7720441
32.0708399,34.7720441,32.0708917,34.7721137
32.0702244,34.7702978,32.0705027,34.7701611
32.071737,34.767383,32.0719044,34.7667873
32.0719044,34.7667873,32.0722185,34.7656698
32.0722185,34.7656698,32.0724582,34.7647198
32.0724582,34.7647198,32.0724787,34.7646385
32.0724787,34.7646385,32.0724971,34.764554
32.0709649,34.7699645,32.07098,34.7699674
32.07098,34.7699674,32.0709952,34.7699703
32.0709952,34.7699703,32.0710255,34.7699799
32.0710255,34.7699799,32.0711578,34.7700374
32.0711578,34.7700374,32.0725228,34.7706034
32.0725228,34.7706034,32.0730329,34.7708401
32.0730329,34.7708401,32.0730641,34.7708486
32.0730641,34.7708486,32.0730975,34.7708475
32.0730975,34.7708475,32.0731267,34.7708248
32.0731267,34.7708248,32.0731472,34.7707794
32.0682717,34.7699947,32.0683321,34.7697818
32.0683321,34.7697818,32.0683999,34.7696482
32.0683999,34.7696482,32.068683,34.7692419
32.068683,34.7692419,32.0687652,34.7691238
32.0687652,34.7691238,32.0687865,34.7691494
32.0687652,34.7691238,32.0687191,34.7690684
32.0707347,34.771812,32.0710038,34.771575
32.0710286,34.7715495,32.0710339,34.7715355
32.0710339,34.7715355,32.07103,34.771506
32.07103,34.771506,32.0709775,34.7714344
32.070263,34.7710796,32.0704244,34.770977
32.070263,34.7710796,32.0703809,34.7712875
32.070263,34.7710796,32.0701175,34.7708343
32.0704244,34.770977,32.0705176,34.7709576
32.0705176,34.7709576,32.070649,34.7708988
32.0709775,34.7714344,32.0709465,34.771372
32.0709465,34.771372,32.070923,34.7713008
32.0711987,34.7710837,32.0712872,34.7714094
32.0712872,34.7714094,32.0711306,34.7717511
32.0711306,34.7717511,32.0714663,34.7719472
32.0695362,34.7703466,32.0695241,34.7703573
32.0695362,34.7703466,32.0695232,34.7703334
32.0695232,34.7703334,32.0692265,34.7701231
32.0692265,34.7701231,32.069205,34.7701059
32.069205,34.7701059,32.0691082,34.7700386
32.0691082,34.7700386,32.0690129,34.7699767
32.0690129,34.7699767,32.0689196,34.7699061
32.0689196,34.7699061,32.0688904,34.7699059
32.0688904,34.7699059,32.0687583,34.7698984
32.0687583,34.7698984,32.0687212,34.7698961
32.0687212,34.7698961,32.0685781,34.7698978
32.0685781,34.7698978,32.0685343,34.7699306
32.0685343,34.7699306,32.0683303,34.7699457
32.0683303,34.7699457,32.068395,34.7697737
32.068395,34.7697737,32.0684251,34.7697089
32.0684251,34.7697089,32.0685085,34.7695855
32.0685085,34.7695855,32.068524,34.769566
32.068524,34.769566,32.0686569,34.7693662
32.0686569,34.7693662,32.0686754,34.7693428
32.0686754,34.7693428,32.0687865,34.7691494
32.0687191,34.7690684,32.0686333,34.7691773
32.0686333,34.7691773,32.0686265,34.7692095
32.0686265,34.7692095,32.0685473,34.7693214
32.0685473,34.7693214,32.0685253,34.7693631
32.0685253,34.7693631,32.0684263,34.7695152
32.0684263,34.7695152,32.068393,34.7695407
32.068393,34.7695407,32.068289,34.7697192
32.068289,34.7697192,32.0682762,34.7697506
32.0682762,34.7697506,32.0681977,34.7699877
32.0681977,34.7699877,32.0680161,34.7700014
32.0680161,34.7700014,32.0679569,34.770006
32.0679569,34.770006,32.0677675,34.7700242
32.0677675,34.7700242,32.067886,34.7696625
32.067886,34.7696625,32.0679002,34.7696185
32.0679002,34.7696185,32.0679638,34.7694479
32.0679638,34.7694479,32.0679194,34.7694282
32.0679194,34.7694282,32.0678466,34.7693959
32.0678466,34.7693959,32.0676704,34.7698883
32.0676704,34.7698883,32.0676602,34.7699183
32.0676602,34.7699183,32.0675946,34.770058
32.0675946,34.770058,32.067348,34.7698967
32.067348,34.7698967,32.0673046,34.7698466
32.0673046,34.7698466,32.067175,34.7697271
32.067175,34.7697271,32.0671379,34.7696986
32.0671379,34.7696986,32.067057,34.7696209
32.067057,34.7696209,32.067031,34.7696688
32.067031,34.7696688,32.067005,34.7697169
32.067005,34.7697169,32.0672788,34.7699723
32.0672788,34.7699723,32.067441,34.7700419
32.067441,34.7700419,32.0674415,34.7700669
32.0674415,34.7700669,32.067442,34.7700936
32.067442,34.7700936,32.0670112,34.7701524
32.0670112,34.7701524,32.0669983,34.7701651
32.0669983,34.7701651,32.0667579,34.7702004
32.0667579,34.7702004,32.0667074,34.7701532
32.0667074,34.7701532,32.0666686,34.7702282
32.0668179,34.7703502,32.066952,34.7703194
32.066952,34.7703194,32.0670018,34.7703046
32.0670018,34.7703046,32.0671211,34.7702866
32.0671211,34.7702866,32.0671495,34.7702796
32.0671495,34.7702796,32.067235,34.7702689
32.067235,34.7702689,32.0672513,34.7702599
32.0672513,34.7702599,32.0675851,34.7702066
32.0675851,34.7702066,32.067577,34.7703721
32.067577,34.7703721,32.0675422,34.7704254
32.0675422,34.7704254,32.0675306,34.7705731
32.0675306,34.7705731,32.0675154,34.7706216
32.0675154,34.7706216,32.0675073,34.7707724
32.0675073,34.7707724,32.0675007,34.7708227
32.0675007,34.7708227,32.0674925,34.7711186
32.0674925,34.7711186,32.0675533,34.7710918
32.0675533,34.7710918,32.0676181,34.7710632
32.0676181,34.7710632,32.067622,34.7709264
32.067622,34.7709264,32.0676341,34.7708823
32.0676341,34.7708823,32.0676319,34.7707094
32.0676319,34.7707094,32.0676493,34.7706782
32.0676493,34.7706782,32.0676692,34.7704607
32.0676692,34.7704607,32.0676757,34.7704414
32.0676757,34.7704414,32.0677118,34.7702015
32.0677118,34.7702015,32.067879,34.7701706
32.067879,34.7701706,32.0679178,34.7701641
32.0679178,34.7701641,32.0680571,34.770148
32.0680571,34.770148,32.0680901,34.7701421
32.0680901,34.7701421,32.06824,34.7701293
32.06824,34.7701293,32.0682733,34.7701232
32.0682733,34.7701232,32.0683932,34.7701081
32.0683932,34.7701081,32.0684328,34.770103
32.0684328,34.770103,32.0685535,34.7700867
32.0685535,34.7700867,32.0685913,34.7700869
32.0685913,34.7700869,32.0686944,34.7700761
32.0686944,34.7700761,32.0687442,34.7700762
32.0687442,34.7700762,32.0688897,34.7700635
32.0688897,34.7700635,32.0689345,34.7700874
32.0689345,34.7700874,32.0689591,34.7700894
32.0689591,34.7700894,32.0691204,34.770205
32.0691204,34.770205,32.0691759,34.7702225
32.0691759,34.7702225,32.0693585,34.7703495
32.0693585,34.7703495,32.0693662,34.7703384
32.0693662,34.7703384,32.0694705,34.7704095
32.0694705,34.7704095,32.0694791,34.7704369
32.0694791,34.7704369,32.0694898,34.7704468
32.0694898,34.7704468,32.0694666,34.7706208
32.0694898,34.7704468,32.0694969,34.7704533
32.0694969,34.7704533,32.0695021,34.7704189
32.0701175,34.7708343,32.0699791,34.77062
32.0699791,34.77062,32.0699553,34.7706023
32.0670178,34.771487,32.0675775,34.7712301
32.0675775,34.7712301,32.0677784,34.771141
32.0677784,34.771141,32.0682617,34.7709181
32.0682617,34.7709181,32.0684464,34.7708778
32.0684464,34.7708778,32.0692228,34.7707085
32.0692228,34.7707085,32.0694666,34.7706208
32.0692228,34.7707085,32.0692245,34.7707506
32.0699058,34.7706005,32.0699211,34.7705972
32.0699058,34.7706005,32.0698795,34.7706226
32.0699058,34.7706005,32.0698708,34.770514
32.0698795,34.7706226,32.0698525,34.7706622
32.0698525,34.7706622,32.0697706,34.7709826
32.0697706,34.7709826,32.069689,34.7713097
32.069689,34.7713097,32.06958,34.7718693
32.06958,34.7718693,32.0694492,34.7724419
32.0718742,34.769349,32.0711641,34.7698268
32.0699553,34.7706023,32.0699411,34.7705961
32.0699411,34.7705961,32.0699211,34.7705972
